Descripción*;Grupo terapéutico
COLIRCUSI FLUORESCEINA ;S01JA
COLIRCUSI FLUOTEST ;S01JA
COLIRCUSI GENTADEXA ;S01CA
COLIRCUSI GENTADEXA OTICO OFTALMICO ;S03CA
COLIRCUSI GENTAMICINA ;S01AA
COLIRCUSI HIDROCORT NEOM ;S01CA
COLIRCUSI HIDROCORTISONA;S01BA
COLIRCUSI HOMATROPINA ;S01FA
COLIRCUSI HUMECTANTE ;S01XA
COLIRCUSI MEDRIVAS ;S01BB
COLIRCUSI MEDRIVAS ANTIBIOTICO ;S01CB
COLIRCUSI NEOMICINA ;S01AA
COLIRCUSI OXITETRACICLIN ;S01AA
COLIRCUSI PILOCARPINA ;S01EB
COLIRCUSI SULFACETAMIDA ;S01AB
COLIRCUSI TROPICAMIDA ;S01FA
COLIRCUSI VASOCONSTRICTO ;S01GA
COLIRCUSI VIRUCIDA IDU ;S01AD
COLIRIO ALFA ;S01GA
COLIRIO LLORENS FLUORVAS;S01BB
COLIRIO LLORENS HEMIDEXA ;S01BZ
COLIRIO LLORENS HEMIDEXA ANTIHISTAMINICO ;S01BZ
COLIRIO LLORENS HOMATROPINA ;S01FA
COLIRIO LLORENS MEVASO ;S01BB
COLIRIO LLORENS MIDRIATICO ;S01FA
COLIRIO LLORENS NEODEXA ;S01CA
COLIRIO OCUL ANTIALERGIC ;S01BB
COLIRIO OCUL ATROPINA ;S01FA
COLIRIO OCUL AUREOMICINA;S01AA
COLIRIO OCUL CICLOPLEJIC ;S01FA
COLIRIO OCUL DEXA FENIC ;S01CA
COLIRIO OCUL DEXA VASOC ;S01BB
COLIRIO OCUL FENILEFRINA ;S01FB
COLIRIO OCUL FLUO FENIC ;S01CA
COLIRIO OCUL FLUO VASOCONSTRICTOR ;S01CB
COLIRIO OCUL FLUORESCEIN ;S01JA
COLIRIO OCUL GENTAMICINA ;S01AA
COLIRIO OCUL HIDRO CLORA ;S01CA
COLIRIO OCUL HIDROCORTISONA NEOMICINA ;S01CA
COLIRIO OCUL HOMATROPINA ;S01FA
COLIRIO OCUL IDU ;S01AD
COLIRIO OCUL NANDROLONA ;S01XA
COLIRIO OCUL NEOMICINA ;S01AA
COLIRIO OCUL PILOCARPINA ;S01EB
COLIRIO OCUL VASOCONSTRICTOR ;S01GA
COLIRIO OCUL VASOCONSTRICTOR ANTIBIOTICO ;S01AA
COLIRIO OCULOS CLORANFENICOL;S01AA
COLIRIOCILINA ;S01AA
COLIRIOCILINA ADRENO-ASTRINGENTE ;S01GA
COLIRIOCILINA DHD ESTREP;S01AA
COLIRIOCILINA ESPECTRO ;S01AA
COLIRIOCILINA ESPECTROMICINA;S01AA
COLIRIOCILINA GENTAMICINA;S01AA
COLIRIOCILINA HOMATROP;S01FA
COLIRIOCILINA NEOMICINA ;S01AA
COLIRIOCILINA PREDNISONA ;S01CA
COLIRIOCILINA SULFACETAM ;S01AB
COLISTIMETATO DE SODIO G.E.S. ;J01XB
COLIXIN ;J01XB
COLME ;N07BB
COLNIDIN ;R05X
COLOPTEN ;A07FA
COLPOTROFIN ;G03CA
COLPRO;G03DB
COLPROSTERONE ;G03DA
COMBIASE ;A07AX
COMBIFLEX ;M01AB
COMBIFLEXONA ;M01BA
COMBIGAN ;S01ED
COMBIPRASAL ;R03AK
COMBITARD HUMANA ;A10AD
COMBITORA ;J01CA
COMBITORAX ;R05CZ
COMBITORAX AMPICILINA ;J01CA
COMBIVENT ;R03AK
COMBIVIR ;J05AR
COMICIANOL ;N03AB
COMITAL L;N03AB
COMOSUP ;A06AG
COMPAGEL;A02AD
COMPETACT ;A10BD
COMPLECAL;V03AB
COMPLEJO HIER+FOLICO+B12 ;B03AE
COMPLEXOBIOTICO BALS;J01CA
COMPLIDERMOL ;D03AX
COMPLUTINE;N05BA
COMPRIMIDOS ANALG LAFENA ;N02BA
COMTAN ;N04BX
CONBRIZA ;G03XC
CONCERTA ;N06BA
CONDELONE ;D06BB
CONDRODIN ;M01AX
CONDROSAN;M01AX
CONDROSULF ;M01AX
CONDUCTASA;A11HA
CONERVIN RETARD ;N06AX
CONESTRON ;G03CA
CONFOBOS ;A02BA
CONOXIA GAS MEDICINAL;V03AN
CONTERRA ;J01AA
CONTRA PULMONIA CATAR N1 ;V03AX
CONTROLVAS;C09AA
CONTUGESIC ;N02AA
CONTUMAX;A06AB
CONTUSIN GEL;M02AC
COPALIA;C09DB
COPAXONE ;L03AX
COPEGUS ;J05AB
COPINAL;A02BX
CORA RAPIDE ;R07AB
CORALEN ;A02BA
CORALENBIS ;A02BA
CORAMINA GOTAS ;R07AB
CORANGOR;C01DX
CORATOLINE ;C01DX
CORDILAN ;C08CA
CORDILAN RETARD ;C08CA
CORDIPLAST ;C01DA
COREMAX ;C01DX
CORFLENE ;C01BC
CORICIDIN ;R05X
CORICIDIN FUERTE ;N02BE
CORIFINA ;R01AC
CORIFINA COLIRIO;S01GX
CORILISINA POMADA ;R01AX
CORILISINA SPRAY;R01AA
CORIPREN;C09BB
CORLENTOR;C01EB
CORMELIAN ;C01DX
CORNEL ;C08CA
CORNINA ;D11AF
COROLATER ;C08DB
COROLATER RETARD ;C08DB
CORONUR ;C01DA
COROPRES ;C07AG
COROTROPE ;C01CE
CORPEA ;C01DX
CORPRILOR ;C09AA
CORTAFRIOL C;R05X
CORTAFRIOL COMPLEX;R05X
CORTENEMA ;C05AA
CORTIDENE DEPOT ;H02AB
CORTIESPEC ;D07AC
CORTINOREX ;A13AA
CORTOFTAL;S01BA
COSERINE U T P FORTE ;A13AA
COSLAN ;M01AG
COSMOFER ;B03AC
COSOPT ;S01ED
COTRIZIMA ;A11DB
COULDESPIR ;R01AA
COULDETOS ;R05DA
COULDINA;R05X
COULDINA C;R05X
COULDINA INSTANT ;R05X
COULERGIN ;R06AE
COVERSYL ;C09AA
COVITASA B12 ;A15AA
COXUMADOL ;N02BE
COZAAR;C09CA
COZAAR INICIO ;C09CA
COZAAR PLUS ;C09DA
CRACOA B ;A02AD
CRATAEGUTT ;C01AX
CRATIMON ;M02AA
CREACAL ;A12AX
CREANOLONA;D07CC
CRECI BABY ;A13AA
CRECIL ;D11AX
CRECISAN ;D11AX
CREMA CONTRACEPTIVA LANZAS;G02BB
CREMA GLAAN ;D03AX
CREMA TRANSCUTAN ;D07AA
CREMSOL ;D07CB
CREMZY ;D02AC
CRESOPHENE ;A01AC
CRESTOR ;C10AA
CRINONE ;G03DA
CRINOREN ;C09AA
CRINORETIC ;C09BA
CRIOSTAT SD ;B02BD
CRISINOR ;M01CB
CRISLAXO ;A06AB
CRISMOL ;R03AK
CRISOMET ;N03AX
CRISTALCROM ;D08AC
CRISTALMINA ;D08AC
CRISTALMINA FILM ;D08AC
CRISTALMINA PLUS ;D08AX
CRISUP ;N06AB
CRIXIVAN ;J05AE
CROMATONBIC B12 ;B03BA
CROMATONBIC FERRO ;B03AA
CROMATONBIC FOLINICO ;V03AF
CROMER ORTO ;D08AK
CROMERCONGO L;D08AX
CROMO ASMA ;R03BC
CROMOGLICATO NASAL ;R01AC
CROMOGLICATO SODICO ;R01AC
CROMOXIN K ;B02BA
CRONODINE;C08DB
CRONOL ;A02BA
CRYSTACIDE ;D08AX
CUANTIN ;A02BA
CUATRODERM ;D07XC
CUBICIN ;J01XX
CUNTICINA ;A07XA
CUPANOL ;N02BE
CUPIEL ;D06BB
CUPRIPEN ;M01CC
CURA CALLOS BEBETE ;D11AF
CURADENT ;A01AD
CURADONA ;D08AG
CURADONA SCRUB ;D08AG
CURAFIL ;D08AC
CURAPIC LAPIZ;D04AA
CURARINA MIRO;M03AA
CURICAP ;V10XA
CURINE;D04AB
CURISTAN ;D08AX
CURMYL ;L02BG
CUROSURF ;R07AA
CUROXIMA ;J01DC
CUSICROM NASAL FUERTE ;R01AC
CUSICROM OFTALMICO ;S01GX
CUSIGEL ;D07AC
CUSIMICINA ;J01FA
CUSIMOLOL ;S01ED
CUSIPEN BALSAMICO ;J01CA
CUSIPEN RETARD ;J01CA
CUSITER ;D08AX
CUSIVIRAL ;J05AB
CUSIVIRAL OFTALMICO;S01AD
CUTANIT ULTRA ;D07AC
CUTIFITOL;D11AC
CUTIMIAN;D01AC
CUTIVATE ;D07AC
CUVEFILM ;D08AC
CYANOKIT ;V03AB
CYATER ;R06AX
CYATER FORTE ;R06AX
CYCLADOL ;M01AC
CYMBALTA ;N06AX
CYMEVENE ;J05AB
CYNT ;C02AC
CYPERON ;N05AG
CYSTADANE ;A16AA
CYSTAGON ;A16AA
CYTOTEC ;A02BB
D SORBITOL ;B05XA
DABONAL ;C09AA
DABONAL PLUS ;C09BA
DACARBAZINA ;L01AX
DACORTIN ;H02AB
DACORTIN H ;H02AB
DACOVO ;J01DA
DACROLUX ;S01XA
DADOSEL;M01AE
DAFALGAN ;N02BE
DAFIRO ;C09DB
DAFIRO HCT ;C09DX
DAFLON ;C05CA
DAGAN ;C08CA
DAITAL ;M01AB
DAIVOBET ;D05AX
DAIVONEX ;D05AX
DAKTARIN GINECOLOGICO;G01AF
DAKTARIN INY;J02AB
DAKTARIN ORAL ;A01AB
DAKTARIN TOPICO ;D01AC
DALACIN ;J01FF
DALACIN FOSFATO ;J01FF
DALACIN TOPICO ;D10AF
DALACIN VAGINAL ;G01AA
DALAMON ;A11DB
DALAMON INY ;H02BX
DALFAZ ;G04CA
DALGEN ;M02AA
DALINAR ;J01GB
DALPARAN;N05CF
DALSY ;M01AE
DALUX BRONQUIAL ;J01CA
DAMA-LAX ;A06AA
DAMOXICIL ;J01CA
DAMOXICIL MUCOLITICO ;R05CZ
DANATROL ;G03XA
DANCOR ;C01DX
DANIELLE ;G03AA
DANILON ;M02AA
DAONIL ;A10BB
DAPAROX ;N06AB
DAPAZ ;N05BC
DARAPRIM ;P01BD
DARDEX;C09AA
DARI ;C08CA
DARITRAN ;A03CA
DARKEPEN ;J01CA
DARMEN SALT ;A06AD
DARROW;B05XA
DARSTIN ;D11AX
DARVON ;N02AC
DASTOSIN ;R05DA
DATOLAN ;N05CF
DATSCAN;V09AB
DAUNOBLASTINA ;L01DB
DAUNOXOME ;L01DB
DAVURMICIN ;J01CE
DAXAS ;R03DX
DAYAMINERAL B12;A11AA
DAYLETTE ;G03AA
DE OXIN;R03D
DEANASE ;B06AA
DEANXIT ;N06CA
DECA DURABOLIN;A14AB
DECADRAN COLIRIO;S01BA
DECADRAN NEOMICINA COLIRIO;S01CA
DECADRAN ORAL;H02AB
DECALTREX FLAS ;A12AX
DECAN ;B05XA
DECAPEPTYL DIARIO ;L02AE
DECAPEPTYL MENSUAL ;L02AE
DECAPEPTYL SEMESTRAL;L02AE
DECAPEPTYL TRIMESTRAL ;L02AE
DECASONA ;R03BA
DECENTAN;N05AB
DECIMA NIL;N02BE
DECIPAR;B01AB
DECIPAR FORTE ;B01AB
DECLOBAN ;D07AD
DECODERM ;D07AB
DECODERM TRIVALENTE ;D07CB
DECOFILINA SEDANTE ;A05AB
DECRELIP ;C10AB
DECRESCO;C09BA
DEFAXINA;J01DB
DEFLAZACORT ;H02AB
DEFLOX ;G04CA
DEFTAN ;N06AA
DEHIDROBENZPERIDOL ;N01AX
DEIRON ;M02AA
DEKAMEGA ;M01AC
DELGA INFUSION ;A06AB
DELGAMER ;A08AA
DELIPODERM ;D11AC
DELTACINA ;D06CA
DELTASITON ;D07CB
DEMETRIN ;N05BA
DEMIAX ;C03BA
DEMOLOX ;N06AA
DEMOTEST ;D07AC
DEMUSIN ;A07DA
DENAVIR ;D06BB
DENAXPREN ;M01AE
DENSICAL ;A12AA
DENTAFIJAL ;A01AB
DENTAL BEBETE;A01AD
DENTICELSO ;A01AB
DENTIKRISOS ;A01AB
DENTISPRAY ;A01AD
DENTOL TOPICO ;A01AD
DENTOMICIN ;A01AD
DENUBIL ;N06BX
DENULCER ;A02BA
DENUTRAXAN;D04AB
DENVAR ;J01DD
DEPAKINE ;N03AG
DEPAKINE CRONO ;N03AG
DEPAMIDE ;N03AG
DEPESERT ;N06AB
DEPO MODERIN ;H02AB
DEPO PROGEVERA;G03DA
DEPOCYTE ;L01BC
DEPOSTAT;G03DA
DEPRANCOL SOSTEN ;N02AC
DEPRASER ;N06AB
DEPRAX;N06AX
DEPRECE ;A02AD
DEPRECE FORTE ;A02AD
DEPRELIO ;N06AA
DEPURAN ;A06AB
DEPURATIVO RICHELET ;A16AX
DEQUADIN ;R02AA
DEQUADIN APOSITO TUL ;D09AA
DEQUADIN COMPLEX ;R02AA
DERATIN COMPRIMIDOS PARA CHUPAR;R02AA
DERATIN SOLUCION;D08AC
DERBITAN ANTIBIOTICO COMPRIMIDOS;A07AA
DERCUSAN ;D08AX
DERCUTANE ;D10BA
DEREME ;D07AC
DERILATE ;M01AE
DERIPIL;D10AF
DERMAREN;D07AB
DERMATRANS ;C01DA
DERMESTRIL ;G03CA
DERMI HORMON ;G03CA
DERMIALGIDA;M02AX
DERMILEVOL ;M02AA
DERMINIOL ;D11AX
DERMINOVAG;D07AA
DERMISDIN CAPILAR;D11AC
DERMISDIN EMULSION;D01AC
DERMISONE BECLO ;D07AC
DERMISONE EPITELIZANTE ;D03AX
DERMISONE FENTIAZACO ;M02AA
DERMISONE HIDROCORTISONA NEOMICINA;D07BA
DERMISONE TRI ANTIBIOTICA ;D06AX
DERMO H POMADA ;D02AB
DERMO HALIBUT ;D02AA
DERMO HUBBER ;D07CA
DERMODIATIC ;D08AC
DERMOFIX ;D01AC
DERMOJUVENTUS ;D10AD
DERMOMYCOSE LIQUIDO ;D01AE
DERMOMYCOSE TALCO ;D06AX
DERMONALEF;D06AX
DERMONILO;D07AC
DERMOSA AUREOMICINA ;D06AA
DERMOSA HIDROCORTISONA ;D07AA
DERMOSEPTIC ;D01AC
DERMOVAGISIL ;D04AB
DERTRASE ;D03BA
DESARROL ;A15AA
DESATEN ;A13AA
DESCONASAL;R01AA
DESCONEX ;N05AH
DESCONGESTAN ;R01AA
DESENFRIOL ;R05X
DESENFRIOL C ;R05X
DESENFRIOL D ;R05X
DESERIL ;N02CA
DESFEBRE ;N02BE
DESFERIN ;V03AC
DESINVAG ;D08AJ
DESLORATADINA  ;R06AX
DESMOPRESINA ;H01BA
DESOGESTREL/ETINILESTRADIOL ;G03AA
DESPIGMENTAL;D11AX
DETERGENTE CUSI AZUFRADO ;D08AX
DETRAMAX ;D07XA
DETRUSITOL ;G04BD
DETRUSITOL NEO ;G04BD
DETTOLMED ;D08AJ
DEVAZOL ;L02BG
DEVINCAL ;C04AX
DEVOGIN ;G02CX
DEVORFUNGI ;D01AE
DEXA BRONCHISAN;R03DB
DEXA TAVEGIL ;H02BX
DEXAFREE;S01BA
DEXAMETASONA ;H02AB
DEXAPLAST ;H02AB
DEXCLORFENIRAMINA MALEATO ;R06AB
DEXIDE ;C10AC
DEXNON ;H03AA
DEXTRAN ;B05AA
DEXTRANORM GLUCOSADO ;B05AA
DEXTRANORM SALINO ;B05AA
DEXTRICEA ;A07BC
DEXTRO RAPIDE GLUCOSADO ;B05BA
DEXTROMETORFANO ;R05DA
DEXTROSA HIDROCOR ;B05BA
DEZACOR ;H02AB
DI RETARD;M01AB
DIABACIL ;J01XX
DIABET ROBERT;A10BB
DIABINESE ;A10BB
DIABIS ACTIVADO RETARD;A10BA
DIACEPLEX;N05CX
DIACEPLEX GOTAS;N05BA
DIACEPLEX SIMPLE ;N05BA
DIACEREINA ;M01AX
DIACIBRONE ;J01CA
DIACOMIT ;N03AX
DIAFORIN ;N05AX
DIAFUSOR ;C01DA
DIALIDER;G03HB
DIALISIS PERIT AA BIEFFE ;B05DB
DIALISOL ;B05DB
DIALUME ;V03AE
DIAMICRON ;A10BB
DIAMOX ;S01EC
DIAMPEN ;J01CA
DIANBEN;A10BA
DIANE 35 ;G03HB
DIANE 35 DIARIO ;G03HB
DIANEAL PD1 GLUCOSA ;B05DB
DIARFIN ;A07DA
DIASTABOL ;A10BF
DIATIN 40 UE ;H05BA
DIATOLIL ;C04AA
DIATRACIN ;J01XA
DIAZEPAN ;N05BA
DICEL ;A08AA
DICEPIN B6 ;N05CX
DICINONE;B02BX
DICLAMINA ;N07CA
DICLOABAK ;S01BC
DICLODERM FORTE;D07AB
DICLOFENACO;M01AB
DICLOFENACO LEPORI OFTALMICO ;S01BC
DICLOFENACO TOPICO;M02AA
DICLOXACILINA ANTIBIOTIC ;J01CF
DICORVIN ;J01FA
DICORYNAN ;C01BA
DICORYNAN RETARD ;C01BA
DIEMIL ;C04AE
DIERTINE ;C04AE
DIF VITAMIN A MASIVO ;A11CA
DIFATEROL ;C10AB
DIFATEROL RETARD ;C10AB
DIFFERINE ;D10AD
DIFICLIR ;A07AA
DIFILINA ;R03DA
DIFILINA ASMORAX ;R03DB
DIFLAMIL ;M01AA
DIFLUCAN ;J02AC
DIFORMIL ;R02AA
DIFOSFEN ;M05BA
DIFRAREL ;C05CX
DIFTAVAX ;J07AM
DIFUR ;D05BX
DIGARIL ;C10AA
DIGARIL PROLIB ;C10AA
DIGERVIN ;A02BA
DIGESTAN ;A09AC
DIGESTIBYS;A09AA
DIGESTINAS ;A02AD
DIGESTIVO VERKOS ;A04AD
DIGESTOFIT ;A02AF
DIGESTOL SANATORIUM;A02X
DIGESTOMEN COMPLEX ;A09AA
DIGESTONICO ;A02AX
DIGESTOVITAL ELIXIR ;A02AX
DIGITALINE NATIVELLE ;C01AA
DIGLOFIL ;J06AA
DIGOXINA ;C01AA
DIGTON ;N05AL
DIGTON FORTE;N05AL
DIHIDRAL ;A11CC
DIHYDERGOT RETARD ;N02CA
DILABAR DIU ;C09BA
DILACLAN ;C08DB
DILACLAN HTA;C08DB
DILACLAN RETARD ;C08DB
DILAFURANE ;M04AB
DILANGIO COMPOSITUM ;C04AX
DILAPRES ;C02LC
DILARTERIAL ;C04AX
DILASTER INY;H02AB
DILATCOR ;C01DX
DILCOR ;C08CA
DILCOR RETARD ;C08CA
DILOSPIR;R03BC
DILTIAZEM ;C08DB
DILTIWAS ;C08DB
DILTIWAS RETARD ;C08DB
DILTIX SOLUCION;M02AA
DILTIX TOPICO ;M02AA
DILUTOL;C03CA
DILUTOL HTA ;C03CA
DIMAYON ;R05FB
DIMINEX ANTITUSIGENO ;R05FA
DINAXCINCO;D11AX
DINAXIL CAPILAR ;D11AX
DINISOR ;C08DB
DINISOR RETARD;C08DB
DINOBROXOL ;R05CB
DINOLDIN;J01XX
DINOVEN;C05BA
DIOLAXIL ;A06AB
DIONDEL;C03BA
DIONINA LLORENS;R05DA
DIOPINE ;S01EA
DIOSMINA ;C05CA
DIOSMINIL ;C05CA
DIOTULFAES ;A02BX
DIOVAN;C09CA
DIOVAN CARDIO ;C09CA
DIPASIC ;J04AC
DIPEPTIVEN;B05BA
DIPERVINA ;C04AE
DIPONDAL ;A08AA
DIPRIVAN ;N01AX
DIPRODERM ;D07AC
DIPROGENTA ;D07CC
DIPROSALIC ;D07XC
DIREVER ;A07AX
DISDOLEN ;N02BA
DISDOLEN CODEINA ;N02BA
DISFIL;N03AB
DISFLATYL ;A02DA
DISGLUX ;A02BA
DISGREN ;B01AC
DISLAVEN RETARD;N06AX
DISMEGYN ;G02CX
DISMENOL;G04BD
DISNAL ;A12AX
DISNE ASMO;R03BB
DISNETAM ;R03DB
DISNEUMON ;R01AA
DISNEUMON MUCOLITICO ;J01RA
DISNEUMON PERNASAL ;R01AA
DISOFROL ;R01BA
DISOLGAS ;A03AX
DISPERBARIUM;V08BA
DISPROMIL;A02BA
DISTAXID ;A02BA
DISTENSAN;N05BA
DISTRANEURINE ;N05CM
DITANRIX;J07AM
DITENSIDE ;C09BA
DITENSOR ;C09AA
DITROPAN ;G04BD
DIU RAUWIPLUS ;C02LA
DIURETTE ;C03BX
DIUREX ;C03BA
DIURINAT ;A16AX
DIUROLASA ;C03CA
DIUZINE;C03EA
DIVACUNA DT LETI ;J07AM
DIVIAL ;N05BA
DIVISEQ ;G03FB
DIXIBON ;N05AL
DOBLAN CALCICO ;A11AA
DOBLEXAN ;M01AC
DOBRICICLIN ;J01CA
DOBUCOR ;C01CA
DOBUPAL ;N06AX
DOBUPAL RETARD;N06AX
DOBUTAMINA EN GLUCOSA ;C01CA
DOBUTREX ;C01CA
DOCATONE ;R07AB
DOCEFREZ ;L01CD
DOCETAXEL;L01CD
DOCLIS RETARD ;C08DB
DOCOSTYL ;J01AA
DOCTODERMIS ;D08AE
DOCTOFRIL ANTIINFLAMATORIO;M02AA
DOCTOMITIL ;M02AC
DOCTRIL ;M01AE
DOCTRIL FORTE ;M01AE
DOGMATIL ;N05AL
DOGMATIL FUERTE ;N05AL
DOLAK RETARD ;C01DA
DOLALGIAL ;N02BG
DOLANTINA ;N02AB
DOLBUFEN ;M01AE
DOLCOPIN ;A02AD
DOLCYMENE ;M02AX
DOLEFIN PARACETAMOL ;N02BE
DOLEMICIN ;N02BB
DOLGESIC CODEINA ;N02BE
DOLINE;M01AB
DOLINTOL ;A02BC
DOLMEN ;N02BA
DOLMIGRAL;N02CC
DOLMITIN ;M02AC
DOLO BUSCOPAN ;N02BB
DOLO NERVOBION ;M01AB
DOLO VOLTAREN ;M01AB
DOLOANA;N02BA
DOLOBID ;N02BA
DOLOCATIL;N02BE
DOLOCATIL CODEINA;N02BE
DOLOCYL ;M01AE
DOLODENS ;N02BB
DOLODOL ;N02AX
DOLODOL FLAS ;N02AX
DOLOFARMA ;N02BA
DOLOGEX ;M02AC
DOLOKEY ;M02AC
DOLOMEDIL ;N02BE
DOLOMEGA ;N02BA
DOLOMEGA FORTE ;N02BA
DOLOPROCT ;C05AX
DOLORAC;M01AE
DOLOSARTO ;N02BA
DOLOSTOP ;N02BE
DOLOTREN RETARD ;M01AB
DOLOTREN TOPICO ;M02AA
DOLPAR ;N02AX
DOLQ ;N02AA
DOLQUINE ;P01BA
DOLSINAL ;M01AX
DOLVIRAN ;N02BA
DOMALIUM ;N05BA
DOMENI ;C04AX
DOMPERIDONA ;A03FA
DOMPIL ;J01CA
DOMPIL BALSAMICO ;J01CA
DONABEL ;G03AA
DONEBRAIN;N06DA
DONEKA ;C09AA
DONEKA PLUS;C09BA
DONEPEZILO;N06DA
DONEURINA ;A11JC
DONICER ;C03EA
DONIX ;N05BA
DONOREST ;M01AB
DONORMYL ;R06AA
DOPACIS ;V09IX
DOPAMINA FIDES ;C01CA
DOPERGIN;G02CB
DORANOL ;J01FA
DORAXO ;A13AA
DORIBAX;J01DH
DORIMAN ;J01MA
DORIVAL ;M01AE
DORKEN ;N05BA
DORMACIL ;R06AA
DORMICUM;N05CD
DORMIDINA ;R06AA
DORMIPLANT ;N05CX
DORMIREL;R06AA
DORMODOR ;N05CD
DORMPLUS ;R06AA
DORZOLAMIDA ;S01EC
DORZOLAMIDA/TIMOLOL ;S01ED
DOSCAFIS;N02BE
DOSIL ;J01AA
DOSIL ENZIMATICO ;J01AA
DOSMALFATO ;A02BX
DOSTINEX ;G02CB
DOTAREM ;V08CA
DOVIDA ;C01CA
DOXACLEN ;J01AA
DOXATENSA ;C02CA
DOXAZOSINA ;C02CA
DOXAZOSINA NEO ;C02CA
DOXI SERGO ;J01AA
DOXICICLINA ;J01AA
DOXICLAT;J01AA
DOXICRISOL ;J01AA
DOXIMAX NEO ;C02CA
DOXINATE ;J01AA
DOXIPIL ;J01AA
DOXITEN BIO ;J01AA
DOXITEN ENZIMATICO;J01AA
DOXIUM ;C05BX
DOXIUM FUERTE ;C05BX
DOXORUBICINA ;L01DB
DPCA 104 ;B05CB
DRAGOSIL ;C01EB
DRAGUL;G04BE
DRAMINE ;R06AE
DRENIAN;N05BA
DRENISON ;D07AC
DRENISON NEOMICINA;D07CC
DRESPLAN;G04BD
DRETINE ;G03AA
DRETINELLE ;G03AA
DRILL PASTILLAS ;R02AA
DROAL ;M01AB
DROGELON ;M01AB
DROGLICAN ;M01CX
DROLASONA ;D07AC
DROSIANE;G03AA
DROSIANE DIARIO ;G03AA
DROSIANELLE DIARIO;G03AA
DROSURE ;G03AA
DROSURE DIARIO ;G03AA
DROSURELLE ;G03AA
DROSURELLE DIARIO ;G03AA
DRYTEC ;V09FX
DT VAX ;J07AM
DTIC DOME ;L01AX
DTP MERIEUX;J07AJ
DTPA TECHNESCAN ;V09CA
DUAC GEL;D10AF
DUAGEN ;G04CB
DUEBIEN ;R06AA
DUKORAL ;J07AE
DULCIPIRINA ;N02BA
DULCO LAXO ;A06AB
DULCOENEMA ;A06AG
DULCOLAXO ;A06AB
DUMIROX ;N06AB
DUNA;N05BA
DUO GOBENS ;J01AA
DUOCOVER ;B01AC
DUODART ;G04CA
DUODOPA ;N04BA
DUOFEMME ;G03FB
DUOGASTRIL ;A02BA
DUOLAX ;A06AD
DUOLIP ;C10AB
DUONASA ;J01CR
DUOPLAVIN ;B01AC
DUOROL ;N02BE
DUOTENS ;C02CA
DUOTRAV ;S01ED
DUPHALAC ;A06AD
DUPHASTON ;G03DB
DUPLICALCIO B12 ;A11JC
DUPONIL ;R05DA
DURABOLIN ;A14AB
DURACEF ;J01DB
DURASINA;R01BA
DURATOBAL ;H01BB
DURFENTA ;N02AB
DUROGESIC MATRIX;N02AB
DURVITAN RETARD;N06BC
DUSPATALIN ;A03AA
DUTONIN ;N06AX
DUTONIN START ;N06AX
DUVADILAN ;C04AA
DUXOR GOTAS ;C04AX
DYNAMIN ;A13AA
DYNAMOGEN;A15AA
DYNASTAT;M01AH
DYNEPO ;B03XA
DYNOVASE ;B01AC
DYSPORT ;M03AX
EBASTEL ;R06AX
EBASTEL FLAS ;R06AX
EBASTEL FORTE ;R06AX
EBASTEL FORTE FLAS ;R06AX
EBASTINA ;R06AX
EBERMAC ;D01AC
EBERNET ;D01AC
EBERTOP ;D01AC
EBIXA ;N06DX
EBROCIT ;A02BA
EBURNOXIN ;C04AX
ECADIU ;C09BA
ECALTA ;J02AX
ECATENSIL ;C09AA
ECATENSIL DUO ;C09BA
ECAZIDE ;C09BA
ECHINACIN MADAUS;V03AX
ECHINAMED;L03AX
ECHINAMED PLUS ;R02AX
ECHINASARTO ;V03AX
ECONAZOL SMALLER ;D01AC
ECOTAM ;D01AC
ECRINAL ;C01BC
ECTREN ;C09AA
EDECRIN ;C03CC
EDELSIN ;G03AA
EDEMOX ;S01EC
EDERAL ;C04AX
EDIFARINGEN ;R02AB
EDIGASTROL ;A02AD
EDILUNA ;M01AE
EDOXIL ;J01CA
EDOXIL MUCOLITICO ;R05CZ
EDTA LLORENS ;S01XA
EDUPRIM ;J01EE
EDUPRIM MUCOLITICO ;R05CZ
EDURANT ;J05AG
EFEDRINA LEVEL ;R03CA
EFEMIDA ;J01DB
EFENSOL ;C10AC
EFETAMOL ;N02BE
EFETONINA ;R03DB
EFFENTORA ;N02AB
EFFERALGAN ;N02BE
EFFERALGAN ODIS ;N02BE
EFFERALGAN VITAMINA C ;N02BE
EFFICIB ;A10BD
EFFIPLEN ;N05BE
EFIENT ;B01AC
EFLUYOL ;A11EX
EFORTIL ;C01CA
EFORTIL RETARD;C01CA
EFUDIX ;L01BC
EGARONE ;R01AB
EKIAN ;V03AX
EKISTOL ;B01AC
EKLIRA ;R03BB
ELACTO ;V03AX
ELAPRASE ;A16AB
ELASVEN ;D07AC
ELCATONINA ;H05BA
ELDICET ;A03AX
ELEBLOC ;S01ED
ELECOR ;C03DA
ELECTOPEN BALSAM RETARD ;R05CZ
ELECTROLACTIL;A07FA
ELEVIT ;A11AA
ELGADIL ;C02CA
ELGAM ;A02BC
ELICA ;D07AC
ELIDEL ;D11AH
ELIGARD MENSUAL ;L02AE
ELIGARD SEMESTRAL;L02AE
ELIGARD TRIMESTRAL;L02AE
ELIMIN LAXANTE ;A06AB
ELIPSINE ;N03AF
ELIQUIS ;B01AF
ELISSAN ;A07DA
